train_id,CSF,GM,WM,metric
IBSR_06_normalized.nii.gz,0.5354962067476716,0.1383371542489761,0.6180570333321924,-0.3581089157883157
IBSR_05_normalized.nii.gz,0.47732398454770786,0.13952503324106197,0.5931628219788202,-0.3573513802684599
IBSR_01_normalized.nii.gz,0.513820454272323,0.1365146019007895,0.633422366281171,-0.3550810272648418
IBSR_09_normalized.nii.gz,0.3009557245952799,0.12664053360754335,0.49000422376440905,-0.3400627400419079
IBSR_03_normalized.nii.gz,0.37196619412970205,0.13785975239969397,0.4658498765935546,-0.3256843432124232
IBSR_04_normalized.nii.gz,0.4219271531246193,0.13322531050076278,0.5662847176098922,-0.3192757387696785
IBSR_08_normalized.nii.gz,0.3364703148599977,0.13540396701195528,0.3476544135398534,-0.30580986806885724
IBSR_16_normalized.nii.gz,0.34851650647722526,0.10377391966480176,0.5879738288290771,-0.3052735900539418
IBSR_18_normalized.nii.gz,0.3059755621268761,0.0949500328489882,0.6081005388505822,-0.302058115420585
IBSR_07_normalized.nii.gz,0.18226872246696035,0.13055445132918597,0.2905397589246466,-0.28259935624840815
