train_id,CSF,GM,WM,metric
IBSR_18_normalized.nii.gz,0.5484661636858029,0.1853050515266956,0.6338276538261312,-0.46302375108730615
IBSR_16_normalized.nii.gz,0.5451364935448901,0.19761737973999374,0.546615867877086,-0.450128998132384
IBSR_01_normalized.nii.gz,0.3993554611734983,0.20002718958128818,0.28444925522106757,-0.3386730504033567
IBSR_06_normalized.nii.gz,0.34129497014386195,0.1962861410926482,0.30075098798603705,-0.32874672823040496
IBSR_04_normalized.nii.gz,0.2775668123522247,0.20100801250006733,0.25424346917597496,-0.3232214454522675
IBSR_05_normalized.nii.gz,0.35886542111403247,0.199194816246148,0.2329057911679921,-0.3226751314648079
IBSR_09_normalized.nii.gz,0.2525479005299633,0.19274513878045743,0.25730818766136787,-0.3138907167035803
IBSR_03_normalized.nii.gz,0.3853741306334023,0.20206751677874452,0.2019018536773371,-0.29636922347395533
IBSR_08_normalized.nii.gz,0.18377069035123134,0.1956851715575833,0.19045980594680806,-0.28944752592360656
IBSR_07_normalized.nii.gz,0.19636569487687516,0.1973620897671615,0.1764282907016566,-0.284950721131103
