train_id,CSF,GM,WM,metric
IBSR_08_normalized.nii.gz,0.33457290336904033,0.10287370803637025,0.543497263481999,-0.30850705727648464
IBSR_09_normalized.nii.gz,0.39094650205761317,0.09596572437291039,0.6491370052981545,-0.3060653680222549
IBSR_05_normalized.nii.gz,0.5160356659352971,0.10263440870251894,0.7156874310923134,-0.30551613828150054
IBSR_07_normalized.nii.gz,0.35154862892089167,0.09434242139325912,0.5257874172354424,-0.29743421227306
IBSR_01_normalized.nii.gz,0.4265880329278781,0.0996096601053258,0.7147999450097776,-0.2913277997724733
IBSR_03_normalized.nii.gz,0.36656706367577124,0.09927653435558847,0.6241352164990795,-0.2891549958131942
IBSR_04_normalized.nii.gz,0.5469674556213018,0.09532803204169912,0.6544783875997018,-0.28334087845610023
IBSR_06_normalized.nii.gz,0.3148842337375965,0.09928078919279636,0.6437180345090056,-0.2681842777448945
IBSR_16_normalized.nii.gz,0.31164593106261473,0.07386710589795484,0.640094634344966,-0.24901442862470646
IBSR_18_normalized.nii.gz,0.18446450809464507,0.07145995021232977,0.6453526402914374,-0.24609067071341223
