train_id,CSF,GM,WM,metric
IBSR_09_normalized.nii.gz,0.5239976587649985,0.10789994144457077,0.648563574098545,-0.29792157350177867
IBSR_08_normalized.nii.gz,0.38248212901558865,0.11284738865987068,0.5124727800629083,-0.28128789982269614
IBSR_03_normalized.nii.gz,0.5295024435042146,0.1077368842119141,0.5710497098995622,-0.26516492559813376
IBSR_07_normalized.nii.gz,0.321213185783711,0.10473697979389317,0.4905345971074761,-0.26445415453584
IBSR_04_normalized.nii.gz,0.6075385076017166,0.10513865943941791,0.6186346460953113,-0.2612893235999052
IBSR_05_normalized.nii.gz,0.5321834862385321,0.11184627047391514,0.5871371343268555,-0.25207792752219754
IBSR_01_normalized.nii.gz,0.4539522662579374,0.10892029888550932,0.5878777295172419,-0.2455868618942214
IBSR_06_normalized.nii.gz,0.4377939646201873,0.11056968949131932,0.5199523253338321,-0.2312985000586847
IBSR_16_normalized.nii.gz,0.34849010760152727,0.08279216707110058,0.5411369571192963,-0.22545490428190543
IBSR_18_normalized.nii.gz,0.28187490001599746,0.0854286628652587,0.5198226566841341,-0.20330100139087143
