train_id,CSF,GM,WM,metric
IBSR_01_normalized.nii.gz,0.49020722443284587,0.13952263331017817,0.6687589986492749,-0.36381376872505866
IBSR_05_normalized.nii.gz,0.48864248864248866,0.14292934860750134,0.6272868006421096,-0.3522432408306135
IBSR_04_normalized.nii.gz,0.4660560108690888,0.13524569995461647,0.602996623061539,-0.3286923316034331
IBSR_09_normalized.nii.gz,0.24526263297872342,0.12864843388640487,0.4911946461119458,-0.32636902261610573
IBSR_06_normalized.nii.gz,0.3348034701691465,0.137802516918945,0.6038255614293633,-0.3201544825417388
IBSR_03_normalized.nii.gz,0.448583472208607,0.1417987633514674,0.5040750445957124,-0.31284524733576946
IBSR_08_normalized.nii.gz,0.2300719558919727,0.13928316621048398,0.37810456021588984,-0.300196251602703
IBSR_16_normalized.nii.gz,0.3304388641164046,0.09726749256296874,0.5389501537615262,-0.2964531513624
IBSR_18_normalized.nii.gz,0.26506024096385544,0.08426651913821202,0.5328467554814271,-0.29518051700811165
IBSR_07_normalized.nii.gz,0.15232807266362897,0.128832325180001,0.3155180731444835,-0.2713523410496003
